word,zipfFrequency
abroad,4.39
accept,4.85
accord,3.81
accuracy,4.24
acid,4.45
activate,3.76
actor,4.65
actual,4.85
acute,4.00
adaptation,4.01
adaptive,3.61
address,4.91
adjacent,4.12
adjustment,3.88
adolescent,3.58
advice,4.88
aesthetic,4.02
afford,4.57
afternoon,4.72
age,5.32
aggregate,3.94
ago,5.42
ahead,5.01
algebra,3.77
algorithm,4.02
alive,4.76
alongside,4.45
already,5.55
amino,3.72
among,5.31
amplitude,3.28
antibody,3.46
anyone,5.38
apparently,4.80
appeal,4.67
appear,4.85
appendix,3.51
appreciate,4.74
arbitrary,3.85
array,4.10
arrest,4.55
arrow,4.13
artificial,4.24
aspect,4.41
assembly,4.61
assert,3.62
assign,3.66
assignment,4.18
assumption,4.07
atom,3.72
authority,4.81
autonomy,3.86
average,5.16
axis,4.02
baby,5.26
bank,5.16
beam,4.14
beautiful,5.22
behavioral,3.86
behind,5.29
bilingual,3.52
bill,5.15
biology,4.22
blame,4.63
blow,4.59
boot,4.19
bound,4.46
boy,5.17
calcium,3.82
calculus,3.60
calm,4.54
cancel,4.18
capacity,4.71
capture,4.42
card,5.04
cat,4.78
catch,4.87
century,5.02
certain,5.16
champion,4.62
check,5.31
chicken,4.63
chromosome,3.48
chronic,4.20
classify,3.39
classroom,4.15
client,4.54
closure,4.11
cloud,4.46
club,5.20
cluster,3.99
coffee,4.86
cognitive,4.11
collapse,4.18
colleague,3.98
collect,4.37
collective,4.30
colonial,4.17
colony,4.12
commentary,4.19
commonly,4.38
compact,4.06
comparable,4.08
competence,3.58
complement,3.77
composer,3.85
conception,3.75
conceptual,3.62
cone,3.83
confusion,4.19
connect,4.38
consensus,4.10
consist,3.94
consonant,3.09
constrain,2.82
consult,3.87
contest,4.53
continue,5.08
continuity,3.77
contrary,4.17
converge,3.23
coordinate,3.82
corpus,3.64
correlate,3.20
cortex,3.59
cost,5.24
count,4.83
cover,5.08
crash,4.55
critique,3.83
crowd,4.70
cue,3.75
cup,5.11
curious,4.45
current,5.27
damage,4.90
dance,4.93
dark,5.04
defeat,4.51
defect,3.68
delay,4.40
democratic,4.73
denote,3.29
dense,3.98
dependence,3.66
depict,3.41
derivative,3.65
design,5.17
detection,4.06
develop,4.75
deviation,3.40
diagnosis,4.20
diagnostic,3.83
diagram,3.85
dialect,3.54
diameter,4.08
diffusion,3.40
direct,4.91
discharge,3.93
discourse,3.83
discrete,3.56
disorder,4.31
dispute,4.27
district,5.04
diverse,4.24
doctor,4.90
domain,4.31
dominant,4.23
door,5.08
dose,4.20
dream,4.91
drop,4.99
duration,4.14
dust,4.41
dynamic,4.31
ecological,3.78
ecology,3.74
election,5.08
electric,4.72
electron,3.82
eliminate,4.15
elite,4.40
embarrass,3.41
embed,2.94
emergence,3.74
emission,3.70
empirical,3.62
employ,3.96
employee,4.50
employer,4.22
encode,2.95
encounter,4.26
enjoy,5.09
enter,4.81
entity,4.12
enzyme,3.82
equal,4.65
equality,4.26
estimation,3.46
ethical,4.07
evaluation,4.21
evening,4.86
ever,5.66
evident,3.99
except,5.02
exchange,4.85
exhaust,3.81
exhibition,4.37
expect,5.01
expert,4.56
explicit,3.96
explicitly,3.96
exploit,3.83
extremely,4.79
facilitate,3.99
factor,4.67
famous,4.84
fan,4.92
fancy,4.35
fashion,4.82
feedback,4.32
fertility,3.78
fetal,3.40
fiber,4.06
film,5.20
finally,5.17
finance,4.65
finger,4.48
finish,4.91
finite,3.75
float,3.94
fluid,4.22
forest,4.70
fraction,3.96
framework,4.29
furniture,4.29
fusion,4.02
gear,4.46
generalize,2.91
generate,4.22
gently,4.08
giant,4.62
gift,4.78
gold,5.17
grab,4.52
gradient,3.48
graph,4.05
guess,5.17
habitat,3.98
hang,4.60
harvest,4.03
hate,5.11
hesitate,3.79
hierarchy,3.78
historian,3.90
horizontal,3.90
hurt,4.94
husband,5.00
identical,4.21
ideology,4.02
imagine,4.92
immune,4.14
impact,4.92
implicit,3.45
incidence,3.64
inclusion,4.02
indicator,3.92
indigenous,4.16
indirect,4.00
induce,3.56
induction,3.71
inequality,3.92
infect,3.36
inference,3.25
infinite,4.16
informal,3.87
inhibit,3.34
inhibition,3.39
initiate,3.74
insect,3.76
instead,5.24
integral,3.96
intensity,4.14
interact,4.05
interface,4.12
interval,3.77
ion,4.15
iron,4.74
joke,4.68
key,5.12
knock,4.35
largely,4.61
lateral,3.75
lawyer,4.67
leaf,4.22
leap,3.94
less,5.49
lexical,2.98
likelihood,3.91
line,5.49
linear,4.12
linguistic,3.71
liquid,4.39
list,5.28
literally,4.91
locally,4.11
locate,3.94
locus,3.18
logical,4.14
loop,4.29
lovely,4.74
lunch,4.66
magic,4.76
magnetic,4.17
magnitude,4.00
main,5.24
manage,4.54
manager,4.97
manuscript,3.92
marginal,3.71
marker,3.87
maternal,3.77
matrix,4.07
matter,5.38
meat,4.63
mediate,3.13
medical,5.16
medicine,4.73
membrane,3.82
mess,4.57
mid,4.82
migration,4.14
mile,4.59
minimal,4.11
minimize,3.80
mirror,4.47
mistake,4.67
mix,4.71
mixture,4.18
model,5.13
molecular,4.11
molecule,3.67
monkey,4.07
morphology,3.41
mutation,3.64
namely,4.02
neither,4.77
nerve,4.19
neural,3.76
neuron,3.16
neutral,4.24
night,5.61
node,3.88
non,5.29
nonlinear,3.27
norm,3.93
normally,4.57
notation,3.47
note,5.04
nothing,5.55
nucleus,3.59
null,3.73
numerical,3.65
nutrient,3.51
observer,3.91
obtain,4.40
occupation,4.20
occurrence,3.77
odd,4.42
office,5.40
onset,3.72
optimal,3.94
oral,4.26
organ,4.14
organism,3.59
ought,4.35
ourselves,4.62
outer,4.25
overlap,3.70
overseas,4.29
overview,4.11
oxygen,4.25
pair,4.72
par,4.15
paradigm,3.61
parameter,3.57
parent,4.57
parental,3.78
partial,4.17
partially,4.19
particle,3.90
partition,3.67
partner,4.84
pass,5.05
passenger,4.38
pathway,3.77
periodic,3.63
permission,4.50
person,5.55
persuade,3.82
phone,5.30
photograph,4.23
physician,4.18
picture,5.13
piece,5.04
pocket,4.48
pool,4.67
port,4.73
possession,4.38
pragmatic,3.49
pre,4.95
precede,2.86
prediction,3.96
premise,3.82
present,5.18
pressure,5.01
pretty,5.38
prevalence,3.66
price,5.23
prize,4.59
probe,3.99
process,5.26
projection,3.79
prominent,4.33
prompt,3.86
protocol,4.15
psychology,4.31
public,5.57
publish,4.10
pulse,4.06
quiet,4.65
radiation,4.27
radical,4.33
radius,3.86
rare,4.77
rational,4.06
readily,3.93
ready,5.28
realize,4.83
